,Time,Speech,,Observation by Code,Common words,General Observation,,,,,,,,,,,,,,,,,
0:20:33,He said there was a ahh contusion.,,,,,,,,,,,,,,,,,,,,,,
0:20:35,Contusion ok.,,,,,,,,,,,,,,,,,,,,,,
0:20:39,Alright when you are ready we are going to roll back to neutral and then we’ll exchange his column.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0:20:46,Ahh once he is done retching we’ll roll back to neutral and put on a miami J.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0:21:12,Alright so no C spine tenderness.,,,,,,,,,,,,,,,,,,,,,,
0:21:21,Ok if we roll you back over?,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0:22:08,Guys ready?,,,,,,,,,,,,,,,,,,,,,,
0:22:08,Hum hum.,,,,,,,,,,,,,,,,,,,,,,
0:22:09,1 2 3.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160814,,,,,,,,,,,,,,,,,,,,,,,
0:25:15,You gotta roll him [...].,before,00:25:41,00:26:03,Log roll-BK,,,,,,,,,,,,,,,,,,
,,,00:25:44,00:25:45,T-spine-BK,,,,,,,,,,,,,,,,,,
0:25:52,No step-offs. No bruising.,during,00:25:44,00:25:57,Visual inspection-BK,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0:28:31,Alright so why don’t we switch this up a little bit we’ll have you go ahead and try to clear the C-spine and then we’ll have someone [bake].,before,00:25:46,00:25:49,C-spine-BK,,,,,,,,,,,,,,,,,,
,,,00:25:49,00:25:50,T-spine-BK,,,,,,,,,,,,,,,,,,
,,,00:25:50,00:25:51,L-spine-BK,,,,,,,,,,,,,,,,,,
,,,00:25:53,00:25:57,Rectal-BK,,,,,,,,,,,,,,,,,,
,,,00:26:06,00:26:17,Log roll-BK,,,,,,,,,,,,,,,,,,
0:30:34,I don’t really think we can clear his collar right now alright collar back on we’ll get a lateral C-spine we’ll.,during,00:29:15,00:30:42,C-Spine Clearance-SA,,,,,,,,,,,,,,,,,,
0:30:38,So C-spine too.,during,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160819,,,,,,,,,,,,,,,,,,,,,,,
0:29:08,Right arm or left arm?,before,00:30:02,00:30:18,Visual inspection-BK,,,,,,,,,,,,,,,,,,
0:29:08,Right arm and right thigh. I'm just doing…,before,00:30:02,00:30:11,T-spine-BK,,,,,,,,,,,,,,,,,,
0:29:20,Who's gonna switch out his arm? so when we log roll him you can…,before,00:30:11,00:30:17,L-spine-BK,,,,,,,,,,,,,,,,,,
0:29:49,You're gonna keep this arm up here okay,before,00:30:17,00:30:18,T-spine-BK,,,,,,,,,,,,,,,,,,
0:30:07,Does this hurt yes or no?,during,,,,,,,,,,,,,,,,,,,,,
0:30:11,"Your back, does your back hurt?",during,,,,,,,,,,,,,,,,,,,,,
0:30:16,Does it hurt here?,during,,,,,,,,,,,,,,,,,,,,,
0:30:22,"Okay, okay let's do the roll. One, two, three",after,,,,,,,,,,,,,,,,,,,,,
0:30:26,No stepoff deformities. He's got very superficial abrasion on the right upperback,after,,,,,,,,,,,,,,,,,,,,,
0:30:49,Keep looking up at the ceiling okay,after,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key Words,,,,,,,,,,,,,,,,,,,,,,,
roll',,,,,,,,,,,,,,,,,,,,,,,
log roll',,,,,,,,,,,,,,,,,,,,,,,
spine',,,,,,,,,,,,,,,,,,,,,,,
stepoff deformities',,,,,,,,,,,,,,,,,,,,,,,
back',,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transcript/Line,Time,Speech,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
161208,,,,,,,,,,,,,,,,,,,,,,,
249,(0:36:19),Well well you're going to get a special type of ice back with a little oil.,,,,,,,,,,,,,,,,,,,,,
250,(0:36:33),Would you rather roll to your side so I can look at your back or sit up whatever you.,,,,,,,,,,,,,,,,,,,,,
251,(0:36:36),Sit up.,,,,,,,,,,,,,,,,,,,,,
252,(0:36:43),And I'm just gonna feel down your back ok tell me if anything hurts.,,,,,,,,,,,,,,,,,,,,,
253,(0:36:51),Nothing?,,,,,,,,,,,,,,,,,,,,,
254,(0:36:52),Nope.,,,,,,,,,,,,,,,,,,,,,
255,(0:36:56),Alright you can go ahead and [lift up].,,,,,,,,,,,,,,,,,,,,,
256,(0:36:57),So put your leg up your knee up and scoot yourself back a little bit.,,,,,,,,,,,,,,,,,,,,,
257,(0:37:02),There you go there you go.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
161211,,,,,,,,,,,,,,,,,,,,,,,
200,(0:26:53),Hey guys are we ready to roll? We need to roll him,,,,,,,,,,,,,,,,,,,,,
203,(0:27:20),Guys we need to roll him off the board,,,,,,,,,,,,,,,,,,,,,
204,(0:27:24),He's gonna need the tube. It's cuffed?,,,,,,,,,,,,,,,,,,,,,
205,(0:27:28),It's cuffed yeah,,,,,,,,,,,,,,,,,,,,,
206,(0:27:32),Take the board,,,,,,,,,,,,,,,,,,,,,
207,(0:27:35),No deformities,,,,,,,,,,,,,,,,,,,,,
208,(0:27:36),Yeah he needs some,,,,,,,,,,,,,,,,,,,,,
209,(0:27:43),"Yeah just pull the board out all they way, all the way please",,,,,,,,,,,,,,,,,,,,,
210,(0:27:48),"Any stepoff that you notice, no?",,,,,,,,,,,,,,,,,,,,,
211,(0:27:50),No stepoffs,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
218,(0:28:25),Alright anything in the back?,,,,,,,,,,,,,,,,,,,,,
219,(0:28:26),No,,,,,,,,,,,,,,,,,,,,,
220,(0:28:28),Okay let's put him on his back,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170107,,,,,,,,,,,,,,,,,,,,,,,
192,(0:20:49),"Slight tenderness in the [...] portion of her spine. Nothing in the C-spine, no stepoff felt. Nothing down below, as well",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170126,,,,,,,,,,,,,,,,,,,,,,,
149,(0:20:10),Ahh let&rsquo;s roll her so we can feel her back.,,,,,,,,,,,,,,,,,,,,,
150,(0:20:16),Does it hurt?,,,,,,,,,,,,,,,,,,,,,
151,(0:20:19),If it hurts then we&rsquo;ll make sure we won&rsquo;t move it. Where does it hurt?,,,,,,,,,,,,,,,,,,,,,
152,(0:20:24),Alright we're going to roll you ok we&rsquo;ll do the work you just try to move yourself ok.,,,,,,,,,,,,,,,,,,,,,
153,(0:20:34),Let's move her up a little bit and then you&rsquo;ll.,,,,,,,,,,,,,,,,,,,,,
154,(0:20:54),You're going to roll that way ok we'll help you.,,,,,,,,,,,,,,,,,,,,,
155,(0:21:04),It&rsquo;s ok it&rsquo;s ok.,,,,,,,,,,,,,,,,,,,,,
156,(0:21:07),Alright let&rsquo;s roll her.,,,,,,,,,,,,,,,,,,,,,
157,(0:21:27),"Alright, does it hurt like when I&rsquo;m touching on your back? Does it hurt here?",,,,,,,,,,,,,,,,,,,,,
158,(0:21:33),"Yes or no ok, just say yes or no.",,,,,,,,,,,,,,,,,,,,,
159,(0:21:34),Does it hurt?,,,,,,,,,,,,,,,,,,,,,
160,(0:21:36),No? Ok.,,,,,,,,,,,,,,,,,,,,,
161,(0:21:38),How about now?,,,,,,,,,,,,,,,,,,,,,
162,(0:21:40),No?,,,,,,,,,,,,,,,,,,,,,
163,(0:21:43),Does it hurt here?,,,,,,,,,,,,,,,,,,,,,
164,(0:21:45),Yes or no.,,,,,,,,,,,,,,,,,,,,,
165,(0:21:46),Yes or no.,,,,,,,,,,,,,,,,,,,,,
166,(0:21:46),Yes.,,,,,,,,,,,,,,,,,,,,,
167,(0:21:47),Yes.,,,,,,,,,,,,,,,,,,,,,
168,(0:21:47),She has umm mid lumbar spine tenderness.,,,,,,,,,,,,,,,,,,,,,
169,(0:21:52),Alright alright.,,,,,,,,,,,,,,,,,,,,,
170,(0:21:55),Flex your buttex togeither. Alright.,,,,,,,,,,,,,,,,,,,,,
171,(0:22:00),Roll her back.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170127,,,,,,,,,,,,,,,,,,,,,,,
73,(0:08:05),This is […] to the back,,,,,,,,,,,,,,,,,,,,,
75,(0:08:14),"And no signs of trauma on the back, there are no stepoff. There's no […] deformities. There's no blood in the anal opening",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170122,,,,,,,,,,,,,,,,,,,,,,,
26,0:01:35,I'm just gonna check your back real quick sir to make sure you have no-,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
212,0:11:43,Just take a look at his back when we go to new area. ,,,,,,,,,,,,,,,,,,,,,
219,0:11:57,"We're just gonna sit you a little bit to turn you uh over so I can take a look at your back, just answer yes or no to my questions okay.",,,,,,,,,,,,,,,,,,,,,
220,0:12:05,You can kinda hug yourself.,,,,,,,,,,,,,,,,,,,,,
221,0:12:14,"Or you can just sit up, that's fine, that's fine. Don't help. You can sit up, if you can.",,,,,,,,,,,,,,,,,,,,,
222,0:12:20,Alright.,,,,,,,,,,,,,,,,,,,,,
223,0:12:22,"Starting here, any pain where I'm pressing?",,,,,,,,,,,,,,,,,,,,,
224,0:12:24,You can just say yes or no. Any pain down here?,,,,,,,,,,,,,,,,,,,,,
225,0:12:28,What about down here?,,,,,,,,,,,,,,,,,,,,,
226,0:12:30,"No other injuries, abrasions, or lacerations noted on the back, uh, no tenderness of palpation from the C to the T and L spine, no step-offs noted",,,,,,,,,,,,,,,,,,,,,
227,0:12:43,Just check the buttocks for me.,,,,,,,,,,,,,,,,,,,,,
228,0:12:47,Just have him roll over,,,,,,,,,,,,,,,,,,,,,
229,0:12:48,"Yea we're gonna have to roll you, roll you to the left, can you just roll to your left for me?",,,,,,,,,,,,,,,,,,,,,
230,0:13:01,Just checking-no abrasions or lacerations to the buttocks.,,,,,,,,,,,,,,,,,,,,,
231,0:13:07,Can you scoot up just a little bit more?,,,,,,,,,,,,,,,,,,,,,
232,0:13:15,Alright you can come back.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170447,,,,,,,,,,,,,,,,,,,,,,,
129,0:20:21,"Okay. No T, CT, or L spine tenderness.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170445,,,,,,,,,,,,,,,,,,,,,,,
87,0:09:43,Do you wanna turn him,,,,,,,,,,,,,,,,,,,,,
88,0:09:44,Sorry what,,,,,,,,,,,,,,,,,,,,,
89,0:09:45,Do you wanna turn him,,,,,,,,,,,,,,,,,,,,,
90,0:09:46,Yeah you'll need to turn him,,,,,,,,,,,,,,,,,,,,,
104,0:10:27,"Alright so we'll roll him, check his back",,,,,,,,,,,,,,,,,,,,,
105,0:10:38,"I'm gonna push on your back, I want you to tell me if it hurts or not okay",,,,,,,,,,,,,,,,,,,,,
106,0:10:41,"Ready 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
107,0:10:46,Does this hurt,,,,,,,,,,,,,,,,,,,,,
108,0:10:48,Does this hurt,,,,,,,,,,,,,,,,,,,,,
109,0:10:52,Does this hurt,,,,,,,,,,,,,,,,,,,,,
110,0:10:55,What's that,,,,,,,,,,,,,,,,,,,,,
111,0:10:56,Kind of,,,,,,,,,,,,,,,,,,,,,
112,0:10:58,Does this hurt,,,,,,,,,,,,,,,,,,,,,
113,0:10:59,Do you guys have any question for us before we leave,,,,,,,,,,,,,,,,,,,,,
114,0:11:01,Does this hurt,,,,,,,,,,,,,,,,,,,,,
115,0:11:05,Yes or no,,,,,,,,,,,,,,,,,,,,,
116,0:11:06,Does this hurt,,,,,,,,,,,,,,,,,,,,,
117,0:11:08,Louder,,,,,,,,,,,,,,,,,,,,,
118,0:11:11,Does this hurt,,,,,,,,,,,,,,,,,,,,,
119,0:11:14,How bout up here,,,,,,,,,,,,,,,,,,,,,
120,0:11:15,Yea,,,,,,,,,,,,,,,,,,,,,
121,0:11:16,Yes,,,,,,,,,,,,,,,,,,,,,
122,0:11:20,"He's got T-spine tenderness, of palpation",,,,,,,,,,,,,,,,,,,,,
123,0:11:22,C-spine tenderness,,,,,,,,,,,,,,,,,,,,,
124,0:11:23,T-spine,,,,,,,,,,,,,,,,,,,,,
125,0:11:24,T-spine,,,,,,,,,,,,,,,,,,,,,
126,0:11:25,Does this hurt,,,,,,,,,,,,,,,,,,,,,
127,0:11:26,No,,,,,,,,,,,,,,,,,,,,,
128,0:11:27,Yes,,,,,,,,,,,,,,,,,,,,,
129,0:11:29,No,,,,,,,,,,,,,,,,,,,,,
130,0:11:30,Does this hurt,,,,,,,,,,,,,,,,,,,,,
131,0:11:32,A little,,,,,,,,,,,,,,,,,,,,,
132,0:11:33,No,,,,,,,,,,,,,,,,,,,,,
133,0:11:33,He said no,,,,,,,,,,,,,,,,,,,,,
134,0:11:35,Does this hurt,,,,,,,,,,,,,,,,,,,,,
135,0:11:38,Can you squeeze your butt cheeks real quick,,,,,,,,,,,,,,,,,,,,,
136,0:11:41,Okay,,,,,,,,,,,,,,,,,,,,,
137,0:11:44,"Ready 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170442,,,,,,,,,,,,,,,,,,,,,,,
81,0:20:10,"On 3. 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
82,0:20:37,I just wanna make sure that he doesn't lose consciousness.,,,,,,,,,,,,,,,,,,,,,
83,0:20:42,"No, no tenderness, uh, in L and C-spine",,,,,,,,,,,,,,,,,,,,,
84,0:20:46,Okay,,,,,,,,,,,,,,,,,,,,,
85,0:20:49,"There's scratches, but I don't, I don't know, I think old.",,,,,,,,,,,,,,,,,,,,,
86,0:20:52,"Yea it looks a lot old, scratch.",,,,,,,,,,,,,,,,,,,,,
87,0:20:54,Okay no injuries.,,,,,,,,,,,,,,,,,,,,,
88,0:20:56,Okay no CE tenderness.,,,,,,,,,,,,,,,,,,,,,
89,0:20:58,"No deformity over the exterior of the legs, um okay.",,,,,,,,,,,,,,,,,,,,,
90,0:21:04,"So no deformities, no step-offs?",,,,,,,,,,,,,,,,,,,,,
91,0:21:06,No,,,,,,,,,,,,,,,,,,,,,
92,0:21:04,"Ready, 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170437,,,,,,,,,,,,,,,,,,,,,,,
85,(00:10:50),"Here have someone hold C, if you're gonna do that have someone hold and then you come to the side and go back to your side",,,,,,,,,,,,,,,,,,,,,
92,(00:11:05),"Here? There's no c-spine tenderness there's no step-offs. Abrasion, is that an abrasion?",,,,,,,,,,,,,,,,,,,,,
94,(00:11:20),Got a little abrasion here? --?,,,,,,,,,,,,,,,,,,,,,
95,(00:11:27),"I'm sorry, did you say abrasion on the left?",,,,,,,,,,,,,,,,,,,,,
96,(00:11:28),No no no it wasn't an abrasion.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
151,(00:15:21),"Alright so let's roll her, check the back of her head, and then spine all the way down.",,,,,,,,,,,,,,,,,,,,,
153,(00:15:30),I was just trying to see if there was a abrasion here,,,,,,,,,,,,,,,,,,,,,
154,(00:15:40),Uh so no swelling to the ankle either right?,,,,,,,,,,,,,,,,,,,,,
155,(00:15:41),"Hey we're gonna turn you okay? So we're gonna turn you like a log. Don't move for us. I'm gonna press on your back on your spine. Tell me yes or no if you have pain. Don't shake your head, just tell me yes or no",,,,,,,,,,,,,,,,,,,,,
156,(00:15:51),Support her leg as you roll her,,,,,,,,,,,,,,,,,,,,,
157,(00:15:53),So I'm sorry um the only thing that you noticed on the um front side was swelling to the ankle? But not the calf is that correct?,,,,,,,,,,,,,,,,,,,,,
158,(00:15:59),"Cor- well it's not actively swelling, it's just tenderness. Tenderness around the uh ankle. Right ankle.",,,,,,,,,,,,,,,,,,,,,
159,(00:16:08),Gotcha,,,,,,,,,,,,,,,,,,,,,
160,(00:16:10),"On three. One, two three.",,,,,,,,,,,,,,,,,,,,,
161,(00:16:14),".--, let me know yes or no if you have any pain. Pain? Pain?",,,,,,,,,,,,,,,,,,,,,
162,(00:16:20),No,,,,,,,,,,,,,,,,,,,,,
163,(00:16:21),Pain?,,,,,,,,,,,,,,,,,,,,,
164,(00:16:21),No,,,,,,,,,,,,,,,,,,,,,
165,(00:16:22),Pain?,,,,,,,,,,,,,,,,,,,,,
166,(00:16:22),Yes,,,,,,,,,,,,,,,,,,,,,
167,(00:16:22),Spend a little time on the L-spine cause it was reported,,,,,,,,,,,,,,,,,,,,,
168,(00:16:24),Pain?,,,,,,,,,,,,,,,,,,,,,
169,(00:16:24),No,,,,,,,,,,,,,,,,,,,,,
170,(00:16:25),Pain?,,,,,,,,,,,,,,,,,,,,,
171,(00:16:26),No,,,,,,,,,,,,,,,,,,,,,
172,(00:16:26),Pain?,,,,,,,,,,,,,,,,,,,,,
173,(00:16:27),No,,,,,,,,,,,,,,,,,,,,,
174,(00:16:27),Pain?,,,,,,,,,,,,,,,,,,,,,
175,(00:16:28),No,,,,,,,,,,,,,,,,,,,,,
176,(00:16:28),Pain?,,,,,,,,,,,,,,,,,,,,,
177,(00:16:29),No,,,,,,,,,,,,,,,,,,,,,
178,(00:16:29),Pain?,,,,,,,,,,,,,,,,,,,,,
179,(00:16:30),No,,,,,,,,,,,,,,,,,,,,,
180,(00:16:31),What about there? Huh?,,,,,,,,,,,,,,,,,,,,,
181,(00:16:36),No,,,,,,,,,,,,,,,,,,,,,
182,(00:16:37),Pain?,,,,,,,,,,,,,,,,,,,,,
183,(00:16:38),No,,,,,,,,,,,,,,,,,,,,,
184,(00:16:40),No pain?,,,,,,,,,,,,,,,,,,,,,
185,(00:16:41),No,,,,,,,,,,,,,,,,,,,,,
186,(00:16:41),No pain?,,,,,,,,,,,,,,,,,,,,,
187,(00:16:42),No,,,,,,,,,,,,,,,,,,,,,
188,(00:16:43),No pain?,,,,,,,,,,,,,,,,,,,,,
189,(00:16:45),Okay there's no-,,,,,,,,,,,,,,,,,,,,,
190,(00:16:49),Okay so we have some lumbar spine tenderness but no step-offs. Okay?,,,,,,,,,,,,,,,,,,,,,
191,(00:16:56),Have her squeeze her butt cheeks together,,,,,,,,,,,,,,,,,,,,,
192,(00:16:58),Just ask,,,,,,,,,,,,,,,,,,,,,
193,(00:17:00),Squeeze your butt. Squeeze your butt together,,,,,,,,,,,,,,,,,,,,,
194,(00:17:02),"Yeah, that's good.",,,,,,,,,,,,,,,,,,,,,
195,(00:17:02),Okay good,,,,,,,,,,,,,,,,,,,,,
196,(00:17:04),Alright,,,,,,,,,,,,,,,,,,,,,
197,(00:17:05),"Okay ready? One, two, three",,,,,,,,,,,,,,,,,,,,,
198,(00:17:13),One two three,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
199,(00:17:20),"So on secondary survey um, she just has tenderness over the right uh ankle. Um an inability to move the, the plantar, the plantar flex and dorsal flex the uh uh, the foot, the ankle. Um and she has tenderness on the lumbar spine.",,,,,,,,,,,,,,,,,,,,,
200,(00:17:38),Okay.,,,,,,,,,,,,,,,,,,,,,
201,(00:17:41),"So right ankle, and right ankle tenderness, lumbar spine tenderness, um basic labs we'll get x-rays of that right lower extremity. Prep to get l-spine x-rays.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170436,,,,,,,,,,,,,,,,,,,,,,,
94,0:08:24,Can we roll him over to the patient's left please,,,,,,,,,,,,,,,,,,,,,
95,0:08:28,Ready,,,,,,,,,,,,,,,,,,,,,
96,0:08:32,Alright,,,,,,,,,,,,,,,,,,,,,
97,0:08:33,Ready,,,,,,,,,,,,,,,,,,,,,
98,0:08:35,"Ready 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
99,0:08:37,Alright,,,,,,,,,,,,,,,,,,,,,
100,0:08:41,Does that hurt,,,,,,,,,,,,,,,,,,,,,
101,0:08:44,"Yeah you're doing good job buddy, I know",,,,,,,,,,,,,,,,,,,,,
102,0:08:49,No stepoffs,,,,,,,,,,,,,,,,,,,,,
103,0:08:50,No deformities of the spine,,,,,,,,,,,,,,,,,,,,,
104,0:08:58,"Alright we can roll him back on the count of 1, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170435,,,,,,,,,,,,,,,,,,,,,,,
106,0:09:43,Just gotta roll him over,,,,,,,,,,,,,,,,,,,,,
108,0:09:47,Can we roll him,,,,,,,,,,,,,,,,,,,,,
109,0:09:53,Guys can we roll him,,,,,,,,,,,,,,,,,,,,,
110,0:10:05,That hurt?,,,,,,,,,,,,,,,,,,,,,
111,0:10:06,No,,,,,,,,,,,,,,,,,,,,,
112,0:10:07,No you're okay,,,,,,,,,,,,,,,,,,,,,
113,0:10:08,"We're gonna roll over to his, his left",,,,,,,,,,,,,,,,,,,,,
114,0:10:16,"I want you to do me a favor buddy I want you to give yourself a hug, okay we're gonna do all the turning you just hold still, I want you to hug yourself like this okay",,,,,,,,,,,,,,,,,,,,,
115,0:10:22,"When he started coming out of the onset more, his vision was much better than it was before he got injured",,,,,,,,,,,,,,,,,,,,,
116,0:10:24,"Ready on my count, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
117,0:10:32,Does it hurt where I'm pushing right here,,,,,,,,,,,,,,,,,,,,,
118,0:10:33,No,,,,,,,,,,,,,,,,,,,,,
119,0:10:34,How bout right here,,,,,,,,,,,,,,,,,,,,,
120,0:10:35,No,,,,,,,,,,,,,,,,,,,,,
121,0:10:36,How bout right here,,,,,,,,,,,,,,,,,,,,,
122,0:10:37,No,,,,,,,,,,,,,,,,,,,,,
123,0:10:37,Right here,,,,,,,,,,,,,,,,,,,,,
124,0:10:39,Right here,,,,,,,,,,,,,,,,,,,,,
125,0:10:40,No,,,,,,,,,,,,,,,,,,,,,
126,0:10:41,Right here,,,,,,,,,,,,,,,,,,,,,
127,0:10:43,Does it hurt right here,,,,,,,,,,,,,,,,,,,,,
128,0:10:44,"Can you squeeze, can you squeeze your butt cheeks together",,,,,,,,,,,,,,,,,,,,,
129,0:10:47,"Squeeze your butt cheeks together, good",,,,,,,,,,,,,,,,,,,,,
130,0:10:49,"Alright, we can roll him back",,,,,,,,,,,,,,,,,,,,,
131,0:10:51,Alright,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170434,,,,,,,,,,,,,,,,,,,,,,,
74,0:04:48,"Relax. Alright, we're gonna roll you over.",,,,,,,,,,,,,,,,,,,,,
75,0:04:51,No don't don't,,,,,,,,,,,,,,,,,,,,,
76,0:04:52,Is that from pain or it won't go?,,,,,,,,,,,,,,,,,,,,,
77,0:04:55,It's pain and I don't want it to go.,,,,,,,,,,,,,,,,,,,,,
78,0:04:58,Okay. Well sweetie we gotta see the back of your leg.,,,,,,,,,,,,,,,,,,,,,
79,0:04:58,Let's roll,,,,,,,,,,,,,,,,,,,,,
80,0:05:00,Yeah we gotta take a look at the back,,,,,,,,,,,,,,,,,,,,,
84,0:05:11,"Alright, we're gonna roll him over on",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
105,0:06:47,"We're gonna, we're gonna actually roll him this way",,,,,,,,,,,,,,,,,,,,,
106,0:06:49,We're gonna roll that way.,,,,,,,,,,,,,,,,,,,,,
107,0:06:52,They gotta check everything out okay?,,,,,,,,,,,,,,,,,,,,,
108,0:06:56,Here you go.,,,,,,,,,,,,,,,,,,,,,
109,0:06:59,"You okay, you want me over there?",,,,,,,,,,,,,,,,,,,,,
110,0:07:03,"One, are are we ready?",,,,,,,,,,,,,,,,,,,,,
111,0:07:06,"Uh, nope cause. Oh here you are. Okay. Go for it.",,,,,,,,,,,,,,,,,,,,,
112,0:07:08,You guys ready?,,,,,,,,,,,,,,,,,,,,,
113,0:07:09,We ready?,,,,,,,,,,,,,,,,,,,,,
114,0:07:10,We're ready.,,,,,,,,,,,,,,,,,,,,,
115,0:07:12,"One, two, three, roll to nurse right",,,,,,,,,,,,,,,,,,,,,
116,0:07:18,Should get a femur though too right?,,,,,,,,,,,,,,,,,,,,,
117,0:07:20,"Yeah yeah, so both sides, both sides",,,,,,,,,,,,,,,,,,,,,
118,0:07:22,Alright,,,,,,,,,,,,,,,,,,,,,
119,0:07:22,Alright bud I'm gonna feel your back,,,,,,,,,,,,,,,,,,,,,
120,0:07:23,"Anything in the butt, check the butt",,,,,,,,,,,,,,,,,,,,,
121,0:07:30,"He, he's gotta look",,,,,,,,,,,,,,,,,,,,,
122,0:07:33,Can you squeeze your butt cheeks together?,,,,,,,,,,,,,,,,,,,,,
123,0:07:34,No,,,,,,,,,,,,,,,,,,,,,
124,0:07:35,"Try sq--there you go, alright good",,,,,,,,,,,,,,,,,,,,,
125,0:07:37,That was a yes,,,,,,,,,,,,,,,,,,,,,
126,0:07:37,"Alright real quick, any pain up here when I'm pushing down",,,,,,,,,,,,,,,,,,,,,
127,0:07:41,Any pain here?,,,,,,,,,,,,,,,,,,,,,
128,0:07:42,How bout here?,,,,,,,,,,,,,,,,,,,,,
129,0:07:45,Over here?,,,,,,,,,,,,,,,,,,,,,
130,0:07:47,No step-offs of the spine.,,,,,,,,,,,,,,,,,,,,,
133,0:07:52,You ready to roll back?,,,,,,,,,,,,,,,,,,,,,
134,0:07:53,Thank you,,,,,,,,,,,,,,,,,,,,,
135,0:07:54,"Okay one, two, three, roll back",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170413,,,,,,,,,,,,,,,,,,,,,,,
32,0:08:58,Abrasion on the back of his right side,,,,,,,,,,,,,,,,,,,,,
43,0:09:39,"No C-spine step-offs, we'll come back to that",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
79,0:11:56,"There's one in the back too, alright, when we turn then call someone to posterior when we turn",,,,,,,,,,,,,,,,,,,,,
84,0:12:12,There were no posterior C-spine step-offs,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
106,0:13:09,"Start with his back, does it hurt you at all back here bud",,,,,,,,,,,,,,,,,,,,,
107,0:13:12,No,,,,,,,,,,,,,,,,,,,,,
108,0:13:13,Anything back here,,,,,,,,,,,,,,,,,,,,,
109,0:13:14,No,,,,,,,,,,,,,,,,,,,,,
110,0:13:15,Okay no step-offs,,,,,,,,,,,,,,,,,,,,,
